question_id	subject_curie	object_curie	n_edges	status
Q122	MONDO:0000001	NCBIGene:1025	6	OK
Q123	NCBIGene:489	NCBIGene:5350	5	OK
Q124	NCBIGene:6262	NCBIGene:801	1	OK
Q125	NCBIGene:6331	NCBIGene:287	6	OK
Q126	NCBIGene:3757	NCBIGene:783	6	OK
Q127	NCBIGene:2554	NCBIGene:2561	7	OK
Q128	NCBIGene:6857	NCBIGene:6844	6	OK
Q129	NCBIGene:3356	NCBIGene:2776	8	OK
Q130	NCBIGene:1813	NCBIGene:2771	9	OK
Q131	NCBIGene:4988	NCBIGene:409	6	OK
Q132	NCBIGene:1268	NCBIGene:2775	9	OK
Q133	NCBIGene:148	NCBIGene:2767	5	OK
Q134	NCBIGene:1129	NCBIGene:2770	7	OK
Q135	NCBIGene:2263	NCBIGene:10818	10	OK
Q136	NCBIGene:1856	NCBIGene:8324	2	OK
Q137	MONDO:0005301	NCBIGene:3559	9	OK
Q138	MONDO:0008383	NCBIGene:3553	4	OK
Q139	MONDO:0004979	NCBIGene:3596	5	OK
Q140	MONDO:0005148	NCBIGene:6517	6	OK
Q141	MONDO:0005148	NCBIGene:6934	9	OK
Q142	MONDO:0005148	NCBIGene:79068	5	OK
Q143	MONDO:0005061	NCBIGene:238	2	OK
Q144	MONDO:0005090	NCBIGene:2903	3	OK
Q145	MONDO:0005083	NCBIGene:7124	9	OK
Q146	MONDO:0007915	NCBIGene:3663	4	OK
Q147	MONDO:0005148	CHEBI:6801	8	OK
Q148	MONDO:0005061	CHEBI:49668	8	OK
Q149	NCBIGene:7124	CHEBI:44185	6	OK
Q150	NCBIGene:1813	CHEBI:3766	9	OK
Q151	NCBIGene:6323	CHEBI:39867	1	OK
Q152	NCBIGene:6323	CHEBI:3387	2	OK
Q153	NCBIGene:6622	NCBIGene:120892	10	OK
Q154	NCBIGene:5290	NCBIGene:2475	5	OK
Q155	NCBIGene:3845	NCBIGene:673	4	OK
Q156	NCBIGene:673	NCBIGene:5594	9	OK
Q157	NCBIGene:3458	NCBIGene:3716	5	OK
Q158	NCBIGene:3091	NCBIGene:7422	5	OK
Q159	NCBIGene:2099	NCBIGene:5290	5	OK
Q160	NCBIGene:367	NCBIGene:2308	7	OK
Q161	NCBIGene:5468	NCBIGene:9370	8	OK
Q162	NCBIGene:3949	NCBIGene:338	10	OK
Q163	NCBIGene:1636	NCBIGene:185	9	OK
