question_id	kg_edges	n_runs	silence_rate	match_rate	precision_cond_on_output	recall_cond_on_output	f1_cond_on_output	union_recall	union_precision	mode_share	mode_set_size	mean_pairwise_jaccard	union_set_size	union_tp
Q5	7	100	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0	0.98	1	0
Q50	1	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.8005387205387205	4	0
Q51	1	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q52	2	100	0.010000000000000009	0.0	0.0	0.0	0.0	0.0	0.0	0.88	1	0.8797979797979798	3	0
Q53	2	100	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0	0.98	1	0
Q54	1	100	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0	0.7262626262626263	6	0
Q55	5	100	0.050000000000000044	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1	0.7762289562289563	5	0
Q56	9	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q57	2	100	0.61	0.02	0.038461538461538464	0.02564102564102564	0.029914529914529912	0.5	0.14285714285714285	0.61	0	0.4003872053872054	7	1
Q58	2	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q59	1	100	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0	0.8302356902356903	4	0
Q6	1	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q60	8	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q61	1	100	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0	0.4206228956228957	6	0
Q62	1	100	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0	0.98	1	0
Q63	1	100	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0	0.7613131313131313	4	0
Q64	1	100	0.84	0.01	0.03125	0.0625	0.041666666666666664	1.0	0.16666666666666666	0.84	0	0.7095959595959596	6	1
Q65	4	100	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0	0.98	1	0
Q66	1	100	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0	0.7762626262626262	6	0
Q67	1	100	0.64	0.01	0.013888888888888888	0.027777777777777776	0.018518518518518517	1.0	0.16666666666666666	0.64	0	0.4481481481481482	6	1
Q68	2	100	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0	0.7462962962962962	5	0
Q69	2	100	0.9299999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0	0.8662626262626263	4	0
Q7	1	100	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0	0.6935353535353536	5	0
Q70	1	100	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0	0.6321548821548821	6	0
Q71	2	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1	0.7888215488215488	4	0
Q72	1	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	1	0.8405387205387206	4	0
Q73	10	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q74	4	100	0.91	0.01	0.05555555555555555	0.027777777777777776	0.037037037037037035	0.25	0.2	0.91	0	0.8290909090909091	5	1
Q75	3	100	0.020000000000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.85	1	0.8374074074074075	3	0
Q76	2	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.8049831649831649	3	0
Q77	5	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.7963636363636364	3	0
Q78	2	100	0.020000000000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1	0.8327609427609428	3	0
Q79	3	100	0.10999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.63	1	0.6220875420875421	4	0
Q8	5	100	0.09999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1	0.6933333333333334	3	0
Q80	2	100	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.62	1	0.5917171717171718	3	0
Q81	2	100	0.020000000000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.7795286195286195	4	0
Q82	3	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	1	0.9072727272727272	2	0
Q83	3	100	0.040000000000000036	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1	0.8022558922558922	3	0
Q84	1	100	0.06000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.68	1	0.6795286195286195	4	0
Q85	1	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	1	0.8986868686868686	3	0
Q86	1	100	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0	0.8842424242424243	3	0
Q87	5	100	0.0	0.82	0.77	0.16400000000000003	0.2685714285714286	0.2	0.25	0.72	1	0.6227272727272727	4	1
Q88	3	100	0.030000000000000027	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1	0.8124242424242424	3	0
Q89	3	100	0.15000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.66	1	0.583030303030303	2	0
Q9	4	100	0.19999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.64	1	0.5680808080808081	3	0
Q90	3	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1	0.8266666666666667	2	0
Q91	2	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q92	5	100	0.49	0.35	0.5686274509803921	0.13725490196078433	0.21755368814192347	0.4	0.4	0.49	0	0.3432659932659933	5	2
Q93	5	100	0.010000000000000009	0.91	0.8114478114478114	0.18383838383838383	0.295935545935546	0.2	0.2	0.7	1	0.6653535353535354	5	1
Q94	3	100	0.09999999999999998	0.6	0.6333333333333333	0.2222222222222222	0.32666666666666666	0.3333333333333333	0.2	0.54	1	0.36797979797979796	5	1
Q95	7	100	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0	0.42464646464646466	5	0
Q96	8	100	0.010000000000000009	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1	0.8981818181818182	2	0
Q97	5	100	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0	0.6620202020202021	3	0
Q98	1	100	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0	0.8484175084175085	4	0
Q99	5	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
