	count	mean	std	min	25%	50%	75%	max
edge_count_mean	163.0	0.676441717791411	0.5353937987410429	0.0	0.065	1.01	1.16	1.46
edge_count_std	163.0	0.32849717543893026	0.18541587779722463	0.0	0.24963906437906774	0.36932370625238775	0.4344512981231433	0.7279423054061359
abstention_rate	163.0	0.42447852760736193	0.4496214503448032	0.0	0.0	0.11	0.94	1.0
predicate_set_stability	163.0	0.7681027865567744	0.18530201497645632	0.29097643097643056	0.6362794612794614	0.8049831649831665	0.9052525252525252	1.0
triple_set_stability	163.0	0.7681027865567744	0.18530201497645632	0.29097643097643056	0.6362794612794614	0.8049831649831665	0.9052525252525252	1.0
