	count	mean	std	min	25%	50%	75%	max
edge_count_mean	163.0	0.4225766871165645	0.4318215637389415	0.0	0.0	0.28	0.92	1.0
edge_count_std	163.0	0.1441045861580213	0.19531425334163313	0.0	0.0	0.0	0.32496153618543844	0.4995998398718719
abstention_rate	163.0	0.5774233128834356	0.4318215637389415	0.0	0.08	0.72	1.0	1.0
predicate_set_stability	163.0	0.8315746421267893	0.22966436800662868	0.2733333333333333	0.6466666666666666	1.0	1.0	1.0
triple_set_stability	163.0	0.7641717791411043	0.25259377200720695	0.2733333333333333	0.5366666666666666	0.8466666666666667	1.0	1.0
